State_Name,Year,Polling_Date,Seat,Poll,District,LB_Name,LB_Type,LB_Code,Ward_No,Ward_Name,Ward_Reservation,OSN,Candidate_Name,Father_Husband_Name,Candidate_Name_O,Father_Husband_Name_O,Gender,Age,Category,Party_ID,Party_Name,Party_Abbreviation,Education,Votes,Position,Status,N_Cand,Valid_Votes,Vote_Share_Percentage,Deposit_Lost,Total_Electors,Total_Votes,Rejected_Votes,Voter_Turnout_Percentage,Notes,Affidavit 
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,1,PRABHAG NO 1 ,,,GHOSALKAR TEJASVEE ABHISHEK,,,,,,,18691,Shivsena,SHS,,4913,1,,11,14445,34.012,,,14445,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,1,PRABHAG NO 1 ,,,YADAV REKHA RAMPRAKASH,,,,,,,10809,Independent,IND,,3089,2,,11,14445,21.385,,,14445,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,1,PRABHAG NO 1 ,,,Mhatre Sheetal Ashok,,,,,,,1605,Indian National Congress,BJP,,2719,3,,11,14445,18.823,,,14445,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,1,PRABHAG NO 1 ,,,Yadav Suchi Dinbandhu,,,,,,,1605,Bhartiya Janata Party,BJP,,2584,4,,11,14445,17.889,,,14445,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,1,PRABHAG NO 1 ,,,CHAUDHARY KIRAN RAMPRATAP,,,,,,,10809,Independent,IND,,283,5,,11,14445,1.959,,,14445,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,1,PRABHAG NO 1 ,,,wadekar jyoti baban,,,,,,,11633,Maharashtra Navnirman Sena,MNS,,179,6,,11,14445,1.239,,,14445,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,1,PRABHAG NO 1 ,,,KUNCHIKORVE LAXMI SHANKAR,,,,,,,16651,Bahujan Samaj Party,BSP,,130,7,,11,14445,0.9,,,14445,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,1,PRABHAG NO 1 ,,,MISHRA NISHA CHANDRAKANT,,,,,,,10809,Independent,IND,,127,8,,11,14445,0.879,,,14445,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,1,PRABHAG NO 1 ,,,QUREISHI KAMRUNISHA ABDUL,,,,,,,7425,Samajwadi Party,SP,,101,9,,11,14445,0.699,,,14445,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,1,PRABHAG NO 1 ,,,Salve Sangeeta Raviraj,,,,,,,10809,Independent,IND,,84,10,,11,14445,0.582,,,14445,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,1,PRABHAG NO 1 ,,,pandey saritadevi vijay,,,,,,,5792,Nationalist Congress Party,NCP,,29,11,,11,14445,0.201,,,14445,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,1,PRABHAG NO 1 ,,,NOTA,,,,,,,u10003,,,,207,12,,11,14445,1.433,,,14445,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,2,PRABHAG NO 2 ,,,OZA JAGDISH KARUNASHANKAR,,,,,,,1605,Bhartiya Janata Party,BJP,,10719,1,,10,22163,48.364,,,22163,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,2,PRABHAG NO 2 ,,,MHATRE BHALCHANDRA CHINTAMAN,,,,,,,18691,Shivsena,SHS,,7924,2,,10,22163,35.753,,,22163,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,2,PRABHAG NO 2 ,,,BHAWAR JAGMOHAN KUMAWAT,,,,,,,1605,Indian National Congress,BJP,,1768,3,,10,22163,7.977,,,22163,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,2,PRABHAG NO 2 ,,,Utekar Shailesh Krishna,,,,,,,11633,Maharashtra Navnirman Sena,MNS,,814,4,,10,22163,3.673,,,22163,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,2,PRABHAG NO 2 ,,,Naik Dattaram Govind,,,,,,,10809,Independent,IND,,164,5,,10,22163,0.74,,,22163,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,2,PRABHAG NO 2 ,,,Ashar hemendra parmanand,,,,,,,10809,Independent,IND,,129,6,,10,22163,0.582,,,22163,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,2,PRABHAG NO 2 ,,,TIWARI SURENDRA VINAY,,,,,,,12285,Republican Party of India (A),RPI(A),,123,7,,10,22163,0.555,,,22163,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,2,PRABHAG NO 2 ,,,Sawant Girish Jagannath,,,,,,,5792,Nationalist Congress Party,NCP,,92,8,,10,22163,0.415,,,22163,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,2,PRABHAG NO 2 ,,,prasad somjee anugrah,,,,,,,16651,Bahujan Samaj Party,BSP,,51,9,,10,22163,0.23,,,22163,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,2,PRABHAG NO 2 ,,,vakode mahesh chandrakant,,,,,,,10809,Independent,IND,,30,10,,10,22163,0.135,,,22163,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,2,PRABHAG NO 2 ,,,NOTA,,,,,,,u10003,,,,349,11,,10,22163,1.575,,,22163,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,3,PRABHAG NO 3 ,,,BRID BALKRISHNA JAYSING,,,,,,,18691,Shivsena,SHS,,5193,1,,21,23656,21.952,,,23656,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,3,PRABHAG NO 3 ,,,CHAUBE ABHAYKUMAR RAJENDRAPRASAD,,,,,,,1605,Indian National Congress,BJP,,4965,2,,21,23656,20.988,,,23656,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,3,PRABHAG NO 3 ,,,BHALEGHARE SAGAR LAXMAN,,,,,,,1605,Bhartiya Janata Party,BJP,,3626,3,,21,23656,15.328,,,23656,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,3,PRABHAG NO 3 ,,,AMBORE RAMESH NAGU,,,,,,,11633,Maharashtra Navnirman Sena,MNS,,3554,4,,21,23656,15.024,,,23656,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,3,PRABHAG NO 3 ,,,GUPTA CHAUTHIPRASAD SHOBHNATH,,,,,,,1605,Indian National Congress,BJP,,2363,5,,21,23656,9.989,,,23656,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,3,PRABHAG NO 3 ,,,Yadav Suryabali Kailash,,,,,,,7425,Samajwadi Party,SP,,620,6,,21,23656,2.621,,,23656,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,3,PRABHAG NO 3 ,,,BHARWAD VIKRAM DHIRUBHAI,,,,,,,9677,Bahujan Vikas Aghadi,BVA,,596,7,,21,23656,2.519,,,23656,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,3,PRABHAG NO 3 ,,,Gimbal Sunil Rajaram,,,,,,,10809,Independent,IND,,530,8,,21,23656,2.24,,,23656,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,3,PRABHAG NO 3 ,,,JHA AMARNATH KASHINATH,,,,,,,5792,Nationalist Congress Party,NCP,,484,9,,21,23656,2.046,,,23656,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,3,PRABHAG NO 3 ,,,YADAV RAJESH HARISHCHANDRA,,,,,,,16651,Bahujan Samaj Party,BSP,,318,10,,21,23656,1.344,,,23656,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,3,PRABHAG NO 3 ,,,gaikwad giridhar bhima,,,,,,,1875,Bharip Bahujan Mahasangh,BBM,,203,11,,21,23656,0.858,,,23656,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,3,PRABHAG NO 3 ,,,WAGHMARE DILIP MUKINDA,,,,,,,2444,Communist Party Of India,CPI,,150,12,,21,23656,0.634,,,23656,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,3,PRABHAG NO 3 ,,,HANWATE DEEPAK SHIVAJI,,,,,,,1096,bahujan republican sociolist party,BARESP,,148,13,,21,23656,0.626,,,23656,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,3,PRABHAG NO 3 ,,,CHAVAN VIKAS TUKARAM,,,,,,,u10004,Aghadi/Front,,,119,14,,21,23656,0.503,,,23656,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,3,PRABHAG NO 3 ,,,thaware santosh govind,,,,,,,10809,Independent,IND,,109,15,,21,23656,0.461,,,23656,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,3,PRABHAG NO 3 ,,,AMBRE SHAILESH SHANKAR,,,,,,,24549,Sambhaji Brigade,SBBGP,,104,16,,21,23656,0.44,,,23656,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,3,PRABHAG NO 3 ,,,NAIR PRADEEP BALAN,,,,,,,1605,Indian National Congress,BJP,,91,17,,21,23656,0.385,,,23656,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,3,PRABHAG NO 3 ,,,saini nemchand bhairumal,,,,,,,10809,Independent,IND,,82,18,,21,23656,0.347,,,23656,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,3,PRABHAG NO 3 ,,,Bhagwat Abhishek Shrikrishna,,,,,,,7682,Sardar Vallbhbhai Patel Party,SVPP,,45,19,,21,23656,0.19,,,23656,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,3,PRABHAG NO 3 ,,,mane sadanand prabhakar,,,,,,,10809,Independent,IND,,45,20,,21,23656,0.19,,,23656,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,3,PRABHAG NO 3 ,,,KAMBLE CHANDRKANT NAGORAO,,,,,,,u10004,Aghadi/Front,,,36,21,,21,23656,0.152,,,23656,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,3,PRABHAG NO 3 ,,,NOTA,,,,,,,u10003,,,,275,22,,21,23656,1.162,,,23656,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,4,PRABHAG NO 4 ,,,PATEKAR SUJATA UDESH,,,,,,,18691,Shivsena,SHS,,11078,1,,8,23006,48.153,,,23006,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,4,PRABHAG NO 4 ,,,purohit kamla premsingh,,,,,,,1605,Bhartiya Janata Party,BJP,,6911,2,,8,23006,30.04,,,23006,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,4,PRABHAG NO 4 ,,,MORE SIDDHIDA SUDESH,,,,,,,11633,Maharashtra Navnirman Sena,MNS,,1414,3,,8,23006,6.146,,,23006,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,4,PRABHAG NO 4 ,,,SAWANT DARSHANA MILIND,,,,,,,1605,Indian National Congress,BJP,,1168,4,,8,23006,5.077,,,23006,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,4,PRABHAG NO 4 ,,,SHARMA MAMTA RAMFER,,,,,,,5792,Nationalist Congress Party,NCP,,1079,5,,8,23006,4.69,,,23006,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,4,PRABHAG NO 4 ,,,GAWADE CHANDA MANGESH,,,,,,,10809,Independent,IND,,632,6,,8,23006,2.747,,,23006,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,4,PRABHAG NO 4 ,,,Sawant Shilpa gajanan,,,,,,,1605,Indian National Congress,BJP,,183,7,,8,23006,0.795,,,23006,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,4,PRABHAG NO 4 ,,,GONDANE SONAL DIWAKAR,,,,,,,10809,Independent,IND,,173,8,,8,23006,0.752,,,23006,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,4,PRABHAG NO 4 ,,,NOTA,,,,,,,u10003,,,,368,9,,8,23006,1.6,,,23006,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,5,PRABHAG NO 5 ,,,GHADI SANJAY SHANKAR,,,,,,,18691,Shivsena,SHS,,11659,1,,4,25220,46.229,,,25220,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,5,PRABHAG NO 5 ,,,Desai Motibhai Lallubhai,,,,,,,1605,Bhartiya Janata Party,BJP,,9638,2,,4,25220,38.216,,,25220,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,5,PRABHAG NO 5 ,,,Mayekar Vimol suresh,,,,,,,11633,Maharashtra Navnirman Sena,MNS,,2417,3,,4,25220,9.584,,,25220,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,5,PRABHAG NO 5 ,,,SONSURKAR UMESH MOHAN,,,,,,,1605,Indian National Congress,BJP,,967,4,,4,25220,3.834,,,25220,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,5,PRABHAG NO 5 ,,,NOTA,,,,,,,u10003,,,,539,5,,4,25220,2.137,,,25220,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,6,PRABHAG NO 6 ,,,KARKAR HARSHAD PRAKASH,,,,,,,18691,Shivsena,SHS,,11355,1,,4,23762,47.786,,,23762,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,6,PRABHAG NO 6 ,,,Rathod Neela Kanubhai,,,,,,,1605,Bhartiya Janata Party,BJP,,9647,2,,4,23762,40.598,,,23762,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,6,PRABHAG NO 6 ,,,NAHIRE SUBHASH BALIRAM,,,,,,,1605,Indian National Congress,BJP,,1801,3,,4,23762,7.579,,,23762,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,6,PRABHAG NO 6 ,,,DHONDGE VASANT SAHADEV,,,,,,,11633,Maharashtra Navnirman Sena,MNS,,530,4,,4,23762,2.23,,,23762,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,6,PRABHAG NO 6 ,,,NOTA,,,,,,,u10003,,,,429,5,,4,23762,1.805,,,23762,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,7,PRABHAG NO 7 ,,,Mhatre Sheetal Mukesh,,,,,,,18691,Shivsena,SHS,,8205,1,,6,20942,39.18,,,20942,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,7,PRABHAG NO 7 ,,,Patil Yogita Nilesh,,,,,,,1605,Bhartiya Janata Party,BJP,,7625,2,,6,20942,36.41,,,20942,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,7,PRABHAG NO 7 ,,,Bhoir Pooja Vivek,,,,,,,11633,Maharashtra Navnirman Sena,MNS,,2068,3,,6,20942,9.875,,,20942,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,7,PRABHAG NO 7 ,,,Varghese Bobby Mathew,,,,,,,1605,Indian National Congress,BJP,,1965,4,,6,20942,9.383,,,20942,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,7,PRABHAG NO 7 ,,,CHAVAN RAMUBAI VASANT,,,,,,,16651,Bahujan Samaj Party,BSP,,314,5,,6,20942,1.499,,,20942,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,7,PRABHAG NO 7 ,,,YERUNKARMORE TRUPTI PRAVIN,,,,,,,5792,Nationalist Congress Party,NCP,,271,6,,6,20942,1.294,,,20942,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,7,PRABHAG NO 7 ,,,NOTA,,,,,,,u10003,,,,494,7,,6,20942,2.359,,,20942,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,8,PRABHAG NO 8 ,,,Chheda Harish Ravji,,,,,,,1605,Bhartiya Janata Party,BJP,,8534,1,,5,19453,43.87,,,19453,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,8,PRABHAG NO 8 ,,,Patil Deepa Ganesh,,,,,,,18691,Shivsena,SHS,,5644,2,,5,19453,29.014,,,19453,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,8,PRABHAG NO 8 ,,,Sutrale Laukik Ashok,,,,,,,1605,Indian National Congress,BJP,,2325,3,,5,19453,11.952,,,19453,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,8,PRABHAG NO 8 ,,,Khan Raies Imtiyaz,,,,,,,5792,Nationalist Congress Party,NCP,,1654,4,,5,19453,8.503,,,19453,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,8,PRABHAG NO 8 ,,,GHOSALKAR GANESH LAXMAN,,,,,,,11633,Maharashtra Navnirman Sena,MNS,,798,5,,5,19453,4.102,,,19453,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,8,PRABHAG NO 8 ,,,NOTA,,,,,,,u10003,,,,498,6,,5,19453,2.56,,,19453,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,9,PRABHAG NO 9 ,,,KORGAONKAR SWETA SHARAD,,,,,,,1605,Indian National Congress,BJP,,9654,1,,4,26335,36.658,,,26335,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,9,PRABHAG NO 9 ,,,MITHBAVKAR MOHAN RAMCHANDRA,,,,,,,1605,Bhartiya Janata Party,BJP,,7585,2,,4,26335,28.802,,,26335,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,9,PRABHAG NO 9 ,,,MHATRE SACHIN DAMODAR,,,,,,,18691,Shivsena,SHS,,7363,3,,4,26335,27.959,,,26335,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,9,PRABHAG NO 9 ,,,NAR MAHESH LAXMAN,,,,,,,11633,Maharashtra Navnirman Sena,MNS,,1248,4,,4,26335,4.739,,,26335,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,9,PRABHAG NO 9 ,,,NOTA,,,,,,,u10003,,,,485,5,,4,26335,1.842,,,26335,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,10,PRABHAG NO 10 ,,,Patel Jitendra Ambalal,,,,,,,1605,Bhartiya Janata Party,BJP,,15585,1,,5,28370,54.935,,,28370,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,10,PRABHAG NO 10 ,,,MHATRE MILIND DWARKANATH,,,,,,,18691,Shivsena,SHS,,9362,2,,5,28370,33,,,28370,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,10,PRABHAG NO 10 ,,,MESTRY SANDEEP MADHUKAR,,,,,,,1605,Indian National Congress,BJP,,1745,3,,5,28370,6.151,,,28370,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,10,PRABHAG NO 10 ,,,NATE RAJESH SHRIDHAR,,,,,,,11633,Maharashtra Navnirman Sena,MNS,,969,4,,5,28370,3.416,,,28370,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,10,PRABHAG NO 10 ,,,belekar arun dashrath,,,,,,,10809,Independent,IND,,117,5,,5,28370,0.412,,,28370,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,10,PRABHAG NO 10 ,,,NOTA,,,,,,,u10003,,,,592,6,,5,28370,2.087,,,28370,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,11,PRABHAG NO 11 ,,,Khursange Riddhi Bhaskar,,,,,,,18691,Shivsena,SHS,,13856,1,,11,25646,54.028,,,25646,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,11,PRABHAG NO 11 ,,,DAREKAR PRAKASH YASHWANT,,,,,,,1605,Bhartiya Janata Party,BJP,,7454,2,,11,25646,29.065,,,25646,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,11,PRABHAG NO 11 ,,,YADAV ASHOK MEGHAI,,,,,,,1605,Indian National Congress,BJP,,1463,3,,11,25646,5.705,,,25646,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,11,PRABHAG NO 11 ,,,Kasar Rajesh Manohar,,,,,,,11633,Maharashtra Navnirman Sena,MNS,,1143,4,,11,25646,4.457,,,25646,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,11,PRABHAG NO 11 ,,,CHAVAN SHIVAJI PANDURANG,,,,,,,10809,Independent,IND,,618,5,,11,25646,2.41,,,25646,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,11,PRABHAG NO 11 ,,,Rane Krishnaji Bhaurao,,,,,,,5792,Nationalist Congress Party,NCP,,322,6,,11,25646,1.256,,,25646,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,11,PRABHAG NO 11 ,,,MALUSHTE SUCHIT SAKHARAM,,,,,,,10809,Independent,IND,,177,7,,11,25646,0.69,,,25646,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,11,PRABHAG NO 11 ,,,Bhosle Sunil Shyam,,,,,,,10809,Independent,IND,,76,8,,11,25646,0.296,,,25646,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,11,PRABHAG NO 11 ,,,Jagtap Vijaya Sampat,,,,,,,10809,Independent,IND,,40,9,,11,25646,0.156,,,25646,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,11,PRABHAG NO 11 ,,,TUPAT VISHWANATH GHANSHYAM,,,,,,,5577,National Black Panthar,NBPP,,36,10,,11,25646,0.14,,,25646,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,11,PRABHAG NO 11 ,,,JAISWAL SUBHASH RAMESH,,,,,,,24549,Sambhaji Brigade,SBBGP,,32,11,,11,25646,0.125,,,25646,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,11,PRABHAG NO 11 ,,,NOTA,,,,,,,u10003,,,,429,12,,11,25646,1.673,,,25646,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,12,PRABHAG NO 12 ,,,SINGHAN GEETA SANJAY,,,,,,,18691,Shivsena,SHS,,9005,1,,11,21747,41.408,,,21747,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,12,PRABHAG NO 12 ,,,CHOGLE VIKRAM SHIRISH,,,,,,,1605,Bhartiya Janata Party,BJP,,6695,2,,11,21747,30.786,,,21747,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,12,PRABHAG NO 12 ,,,NAIK AMOL ARUN,,,,,,,10809,Independent,IND,,2356,3,,11,21747,10.834,,,21747,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,12,PRABHAG NO 12 ,,,PAWAR SHIVANI JATIN,,,,,,,11633,Maharashtra Navnirman Sena,MNS,,1064,4,,11,21747,4.893,,,21747,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,12,PRABHAG NO 12 ,,,PANDEY HEMANT BHAILAL,,,,,,,1605,Indian National Congress,BJP,,788,5,,11,21747,3.623,,,21747,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,12,PRABHAG NO 12 ,,,DESAI AJAY YASHWANT,,,,,,,5792,Nationalist Congress Party,NCP,,745,6,,11,21747,3.426,,,21747,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,12,PRABHAG NO 12 ,,,SHINDE PRAMOD PRALHAD,,,,,,,10809,Independent,IND,,226,7,,11,21747,1.039,,,21747,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,12,PRABHAG NO 12 ,,,FULWARE PRADEEP BHANUDAS,,,,,,,u10004,Aghadi/Front,,,147,8,,11,21747,0.676,,,21747,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,12,PRABHAG NO 12 ,,,Dalvi Vinay Tukaram,,,,,,,10809,Independent,IND,,135,9,,11,21747,0.621,,,21747,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,12,PRABHAG NO 12 ,,,RAWAT HARGOVIND DURGASINGH,,,,,,,10809,Independent,IND,,108,10,,11,21747,0.497,,,21747,,,,
Maharashtra,2017,21-02-2017, ,0,Mumbai City,BRIHAN MUMBAI,MC,6,12,PRABHAG NO 12 ,,,KAMBLE MACHHINDRA SHIVAJI,,,,,,,1096,bahujan republican sociolist party,BARESP,,97,11,,11,21747,0.446,,,21747,,,,
